player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures,YEAR
Ellison Hubbard,52025,DI,COLO STATE,3,0,0,144,57.8,0,1,24,100,4.2,1,0,2.1,0,26,26,1,0,61.7,0,1,9,100,11.1,1,5.6,0,10,10,1,2021
Manny Jones,52026,DI,COLO STATE,12,0,2,144,71.1,5,20,280,99,10.4,29,3,5.5,3,303,300,28,0,72.5,1,11,95,100,15.8,15,7.4,1,100,100,13,2021
Eugene Ford,52061,S,HAWAII,13,0,0,180,59,0,2,11,3.2,0,0,1,9.1,0,379,12,2,0,56.5,0,0,3,4.4,0,0,0,0,90,4,0,2021
Penei Pavihi,52079,LB,HAWAII,12,0,0,180,68.2,4,6,64,20.6,12.5,8,0,9.4,1,315,65,11,0,65.2,0,4,24,30.8,16.7,4,12.5,1,78,24,5,2021
Jake Byczko,52099,ED,BOSTON COL,7,0,0,121,52.6,0,1,32,97.2,0,0,1,1.6,0,36,35,1,0,54.8,0,0,7,100,0,0,0,0,9,9,0,2021
Alexander Skelton,52121,DI,OREGON ST,10,0,0,265,61.7,1,2,57,100,3.5,2,2,2.6,0,57,57,3,0,54,0,1,6,100,0,0,8.3,0,6,6,1,2021
Justin Gardner,52135,CB,KANSAS ST,8,0,0,199,58.5,0,0,3,3.2,0,0,0,0,0,94,3,0,0,,0,0,0,0,,0,,0,8,0,0,2021
George Nyakwol,52203,S,RICE,5,0,0,275,76.4,1,1,9,5.4,22.2,2,1,22.2,1,168,9,3,0,63.8,0,0,3,4.8,33.3,1,0,0,62,3,0,2021
Kenneth Orji,52209,ED,RICE,9,0,0,275,67.9,2,7,172,78.2,8.7,15,4,3.2,1,238,186,10,0,73.9,2,3,57,82.9,12.3,7,6.1,1,76,63,6,2021
Trey Schuman,52216,ED,RICE,9,0,0,275,70.1,2,9,194,97.1,11.3,22,1,4.9,4,209,203,15,0,65.1,1,3,54,98.3,16.7,9,7.4,2,59,58,6,2021
