player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures,YEAR
Jeremiah Owusu-Koramoah,58089,LB,NOTRE DAME,10,0,1,258,70.4,2,7,65,21.5,13.8,9,2,8.5,1,325,70,10,0,59,0,3,23,26.7,4.3,1,10.9,1,101,27,4,2020
Drew White,58090,LB,NOTRE DAME,10,1,0,258,70.9,4,6,31,15.7,19.4,6,1,19.4,1,197,31,11,0,71.3,0,1,4,9.3,25,1,12.5,0,43,4,1,2020
Pete Werner,58093,LB,OHIO STATE,5,0,0,260,73.1,2,3,17,10.2,17.6,3,0,20.6,1,177,18,6,0,73.3,2,3,13,16,23.1,3,26.9,1,81,13,6,2020
Baron Browning,58095,LB,OHIO STATE,5,0,1,260,55.6,0,4,22,14.8,4.5,1,2,9.1,0,162,24,4,0,58.5,0,3,12,18.9,0,0,12.5,0,74,14,3,2020
Isaac Slade-Matautia,58108,LB,OREGON,5,0,0,264,59.2,3,1,31,19.9,3.2,1,0,9.7,1,166,33,5,0,52.9,2,1,15,24.6,0,0,10,0,65,16,3,2020
Brelin Faison-Walden,58110,LB,CHARLOTTE,1,0,0,136,60,0,0,0,100,,0,0,,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0,2020
Ellis Brooks,58112,LB,PENN STATE,9,0,0,266,72,3,7,49,18.9,14.3,7,0,12.2,1,265,50,11,0,78.4,1,6,21,22.2,23.8,5,21.4,1,99,22,8,2020
Cam Bright,58115,LB,PITTSBURGH,11,0,0,268,80.9,5,7,65,22.2,16.9,11,0,21.5,8,329,73,20,0,79.3,1,1,20,20.2,20,4,35,6,109,22,8,2020
Derrick Barnes,58120,LB,PURDUE,6,0,0,273,58.8,1,6,38,21.7,10.5,4,1,9.2,0,189,41,7,0,60,0,3,28,53.4,10.7,3,5.4,0,58,31,3,2020
Olakunle Fatukasi,58122,LB,RUTGERS,9,0,0,278,67.8,2,4,45,15.7,6.7,3,1,13.3,3,306,48,9,0,65.2,2,1,22,22.2,4.5,1,15.9,2,99,22,5,2020
CJ Onyechi,58123,ED,RUTGERS,7,0,0,278,68.1,2,17,148,96.3,10.8,16,1,7.1,1,164,158,20,0,73.5,0,9,46,98.1,26.1,12,9.8,0,52,51,9,2020
Tyshon Fogg,58124,LB,RUTGERS,8,0,0,278,68.3,1,6,21,11.4,9.5,2,2,21.4,1,184,21,8,0,58,0,2,6,15.4,16.7,1,16.7,0,39,6,2,2020
Caden McDonald,58128,ED,S DIEGO ST,8,3,0,284,70.5,5,18,225,78.6,7.6,17,2,7.8,6,295,232,29,1,78.5,4,9,72,75.5,12.5,9,13.2,3,98,74,16,2020
Andrew Aleki,58129,LB,S DIEGO ST,6,0,1,284,58.3,1,5,63,36.5,6.3,4,2,4.8,0,178,65,6,0,56.5,0,2,18,34.5,5.6,1,5.6,0,58,20,2,2020
Seyddrick Lakalaka,58130,LB,S DIEGO ST,7,0,0,284,56.1,0,8,60,29.3,8.3,5,1,8.3,1,215,63,9,0,62.1,0,5,30,45.1,13.3,4,11.7,1,71,32,6,2020
Shaine Hailey,58131,LB,SMU,10,0,0,287,51.4,2,6,30,20.3,0,0,0,16.7,1,153,31,9,0,54.2,2,6,14,24.6,0,0,35.7,1,57,14,9,2020
Nick Mobley,58133,LB,S ALABAMA,11,0,0,288,54.6,0,1,18,6.7,0,0,0,2.8,0,299,20,1,0,52.5,0,0,6,11.3,0,0,0,0,53,6,0,2020
Damani Staley,58136,LB,S CAROLINA,10,0,0,289,56.6,0,1,19,9.3,5.3,1,0,2.6,0,216,20,1,0,54.9,0,0,4,7.9,0,0,0,0,63,5,0,2020
Devin Thomas,58156,ED,SO MISS,7,0,0,296,56,1,0,8,28.6,0,0,0,6.3,0,28,8,1,0,59.6,0,0,1,50,0,0,0,0,2,1,0,2020
Zach Portlock,58157,LB,SO MISS,5,0,0,296,58.6,0,0,18,22.8,0,0,0,5.6,1,79,18,1,0,67.9,0,0,3,33.3,0,0,33.3,1,9,3,1,2020
Santrell Latham,58158,LB,SO MISS,8,0,0,296,83.9,3,12,35,21.1,11.4,4,1,32.9,4,171,36,19,0,90.1,1,3,11,32.4,18.2,2,36.4,2,34,11,6,2020
Tyrell Richards,58174,ED,SYRACUSE,8,0,1,304,65.3,5,5,95,89.9,11.6,11,1,7.4,2,109,98,12,0,70.2,3,4,36,90.2,19.4,7,15.3,2,41,37,9,2020
Audley Isaacs,58177,LB,TEMPLE,1,0,0,306,60,0,1,1,10,0,0,1,50,0,10,1,1,0,,0,0,0,,,0,,0,0,0,0,2020
Cort Jaquess,58183,LB,TEXAS,4,0,0,311,61.7,0,1,9,23.7,11.1,1,0,5.6,0,38,9,1,0,59.2,0,0,1,10,0,0,0,0,10,1,0,2020
Buddy Johnson,58189,LB,TEXAS A&M,9,1,0,312,69.3,0,1,25,7.8,8,2,0,14,3,334,26,4,1,69.5,0,0,12,13.2,8.3,1,16.7,2,91,12,2,2020
London Harris,58192,ED,TEXAS ST,12,0,0,314,61,4,6,88,58.5,9.1,8,0,5.7,0,159,93,10,0,63.6,3,2,33,92.3,12.1,4,7.6,0,39,36,5,2020
Riko Jeffers,58197,LB,TEXAS TECH,9,0,0,315,64.1,6,12,125,40.4,9.6,12,3,8,1,332,134,19,0,57,2,4,34,72.5,8.8,3,11.8,1,51,37,7,2020
Carlton Martial,58199,LB,TROY,11,0,0,318,89,1,8,32,9.6,31.3,10,1,17.2,1,356,34,10,0,91.3,1,3,12,14.8,41.7,5,16.7,0,81,12,4,2020
Justin Whisenhunt,58200,LB,TROY,2,0,0,318,56.9,0,0,2,9.1,0,0,0,0,0,22,2,0,0,56.9,0,0,2,28.6,0,0,0,0,7,2,0,2020
Monty Montgomery,58203,LB,LOUISVILLE,10,0,1,210,71,1,6,30,18.3,16.7,5,4,28.3,5,175,32,12,0,72.2,0,1,14,23.7,14.3,2,32.1,4,59,14,5,2020
Marvin Moody,58204,LB,TULANE,9,0,0,319,67.2,2,1,35,19.9,5.7,2,1,7.1,1,196,39,4,0,69.4,2,0,17,26,5.9,1,11.8,1,77,20,3,2020
Kristopher Moll,58205,LB,UAB,7,0,1,321,69.8,5,6,42,18.6,4.8,2,2,17.9,2,242,45,13,0,69.4,4,2,15,20.3,6.7,1,20,0,79,16,6,2020
Luke Brasher,58207,LB,UAB,3,0,0,321,57.7,0,0,2,5.7,0,0,0,0,0,35,2,0,0,59.5,0,0,1,6.3,0,0,0,0,16,1,0,2020
Farrell Hester II,58232,LB,UNLV,3,0,0,325,57.7,0,0,2,3.4,0,0,0,0,0,58,2,0,0,59.2,0,0,1,7.7,0,0,0,0,13,1,0,2020
Vi Jones,58233,LB,NC STATE,11,0,1,248,64.4,3,11,103,49.6,9.7,10,1,8.7,2,236,117,16,0,67.4,1,9,62,81.1,16.1,10,9.7,1,90,73,11,2020
Bryce Matthews,58235,ED,USC,1,0,0,326,57.6,0,0,1,100,0,0,0,0,0,2,2,0,0,57.6,0,0,1,100,0,0,0,0,2,2,0,2020
Hunter Echols,58237,ED,USC,5,0,0,326,60.2,3,6,77,79.2,9.1,7,0,5.8,0,101,80,9,0,56.2,1,3,41,81.5,7.3,3,4.9,0,54,44,4,2020
Devin Lloyd,58238,LB,UTAH,5,0,0,328,83.5,1,6,47,21.5,21.3,10,1,11.7,2,219,47,9,0,83.4,0,5,28,22.8,25,7,16.1,2,123,28,7,2020
Brayden DeVault-Smith,58259,LB,VANDERBILT,6,0,1,333,62,0,0,9,21.3,0,0,1,11.1,1,47,10,1,0,57.6,0,0,2,22.2,0,0,0,0,9,2,0,2020
Dimitri Moore,58261,LB,VANDERBILT,6,0,2,333,57.4,0,0,25,18.8,4,1,3,0,0,144,27,0,0,60.1,0,0,6,32,0,0,0,0,25,8,0,2020
Michael Owusu,58262,ED,VANDERBILT,7,2,1,333,65.3,1,3,64,98.5,9.4,6,1,4.7,1,67,66,5,0,56.8,0,1,14,100,7.1,1,3.6,0,15,15,1,2020
Rayshard Ashby,58267,LB,VA TECH,11,0,0,337,53.2,8,9,102,25.2,2.9,3,1,12.3,4,437,110,21,0,49.8,3,4,46,31.5,4.3,2,12,2,165,52,9,2020
Jaylen Griffin,58270,ED,VA TECH,9,0,0,337,63.6,3,9,124,93.6,8.9,11,2,5.6,1,141,132,13,0,62.7,1,4,42,90.4,14.3,6,6,0,52,47,5,2020
Willie Taylor III,58278,ED,WASH STATE,1,0,0,341,65.7,0,0,4,80,25,1,0,25,1,5,4,1,0,66.3,0,0,3,75,33.3,1,33.3,1,4,3,1,2020
Kyle Bailey,58289,LB,W KENTUCKY,10,0,0,346,60,4,7,65,24.7,3.1,2,3,13.1,3,279,69,14,0,68.5,1,4,19,20.4,10.5,2,23.7,2,103,21,7,2020
Juwuan Jones,58290,ED,W KENTUCKY,11,1,1,346,58.1,4,14,273,98.6,6.6,18,2,4.4,3,292,288,21,0,57.8,2,6,104,97.4,9.6,10,4.8,1,114,111,9,2020
Roy McCree,58292,LB,W MICHIGAN,3,0,0,347,56.9,0,0,5,13.5,0,0,0,0,0,37,5,0,0,,0,0,0,0,,0,,0,10,0,0,2020
Treshaun Hayward,58293,LB,W MICHIGAN,6,0,0,347,67.5,2,5,47,21.5,17,8,5,7.4,0,237,51,7,0,73.5,1,4,17,26.8,35.3,6,14.7,0,71,19,5,2020
Corvin Moment,58294,LB,W MICHIGAN,6,0,0,347,66.7,0,1,35,16.2,8.6,3,0,7.1,2,222,36,3,0,65.5,0,0,17,28.1,11.8,2,0,0,64,18,0,2020
Tanner Motz,58296,ED,W MICHIGAN,6,0,0,347,54.8,0,0,30,100,3.3,1,0,0,0,33,33,0,0,52.1,0,0,11,100,0,0,0,0,13,13,0,2020
Izayah Green-May,58302,ED,WISCONSIN,1,0,0,349,55.2,0,1,12,92.3,0,0,0,4.2,0,13,12,1,0,59.4,0,0,1,50,0,0,0,0,2,1,0,2020
Chris Pearson,58439,DI,NAVY,3,0,0,237,60.7,0,1,38,100,5.3,2,0,1.3,0,41,41,1,0,66.7,0,1,13,100,15.4,2,3.8,0,13,13,1,2020
Mike Flowers,58440,DI,NAVY,3,0,0,237,54.4,0,0,32,100,0,0,0,0,0,32,32,0,0,57.5,0,0,5,100,0,0,0,0,5,5,0,2020
Gjemar Daniels,58442,DI,TEXAS ST,12,0,0,314,58.1,0,3,205,98.1,2.4,5,0,1.2,1,212,208,4,0,56.8,0,1,27,90,3.7,1,1.9,0,30,27,1,2020
Justis Borton,58443,DI,WYOMING,5,0,0,351,55.4,0,0,14,100,0,0,0,0,0,15,15,0,0,55.6,0,0,8,100,0,0,0,0,9,9,0,2020
Corey Stephens,58488,DI,ARIZONA ST,2,0,0,110,54.6,0,0,19,100,0,0,0,0,0,19,19,0,0,54.9,0,0,15,100,0,0,0,0,15,15,0,2020
Ryan Miller,58524,DI,BAYLOR,9,1,0,118,55.1,0,1,137,99.3,0.7,1,1,1.1,1,145,144,2,0,54.1,0,1,41,100,0,0,3.7,1,45,45,2,2020
Kyron Taylor,59826,DI,MARSHALL,4,0,0,214,58,1,0,25,100,0,0,0,2,0,25,25,1,0,61.4,1,0,10,100,0,0,5,0,10,10,1,2020
Jess Speight,59853,DI,MICHIGAN,4,0,0,222,63,0,1,12,100,8.3,1,0,4.2,0,13,13,1,0,60,0,0,0,100,,0,,0,1,1,0,2020
Amir Johnson,59912,DI,NEVADA,7,0,0,239,64.5,1,4,96,100,7.3,7,0,3.6,1,98,98,6,0,66.4,1,1,34,100,14.7,5,2.9,0,34,34,2,2020
Shawn Robinson,60551,QB,MISSOURI,1,0,0,229,59.7,0,0,1,7.1,0,0,1,0,0,14,1,0,0,59.7,0,0,1,25,0,0,0,0,4,1,0,2020
Bryce Cosby,60628,S,BALL ST,6,1,0,117,76.3,0,1,7,3,0,0,1,21.4,1,232,7,2,0,67.3,0,1,4,5.1,0,0,37.5,1,78,4,2,2020
Kekaula Kaniho,60637,S,BOISE ST,6,3,0,120,73.2,3,2,29,14.6,13.8,4,0,8.6,0,199,29,5,0,55.7,0,0,4,5.8,0,0,0,0,69,4,0,2020
Daniel Scott,60640,S,CAL,4,0,0,130,65.8,0,2,3,5.4,33.3,1,0,33.3,0,56,3,2,0,,0,0,0,0,,0,,0,20,0,0,2020
Lummie Young IV,60642,S,DUKE,5,0,0,154,57.7,1,0,4,2.9,0,0,1,12.5,0,140,4,1,0,59.4,0,0,1,1.6,0,0,0,0,61,1,0,2020
Leonard Johnson,60643,CB,DUKE,10,0,0,154,56,0,0,5,1.9,0,0,1,0,0,261,5,0,0,58.1,0,0,2,1.8,0,0,0,0,110,2,0,2020
Michael Carter II,60644,CB,DUKE,11,0,2,154,59.2,0,0,1,0.3,0,0,3,0,0,313,1,0,0,59.2,0,0,1,0.9,0,0,0,0,115,1,0,2020
Marquis Waters,60646,S,DUKE,11,0,1,154,61.3,1,3,13,3.4,0,0,2,23.1,1,382,13,5,0,64.8,0,1,4,2.8,0,0,37.5,1,144,4,2,2020
Donovan Stiner,60647,S,FLORIDA,9,0,0,163,62.1,0,1,6,2.1,16.7,1,0,8.3,0,284,6,1,0,64.2,0,1,3,3.1,33.3,1,16.7,0,96,3,1,2020
SaVion Harris,60652,S,UTSA,7,0,0,331,55.7,0,0,3,2.6,0,0,0,0,0,153,4,0,0,59.2,0,0,1,1.9,0,0,0,0,52,1,0,2020
Ahman Ross,60654,S,FAU,8,0,0,165,59.8,2,7,98,39.8,5.1,5,1,5.6,1,256,102,10,0,55.3,0,0,16,23.6,0,0,0,0,72,17,0,2020
Kenderick Duncan,60658,S,GA SOUTHRN,6,0,0,174,64.5,0,1,3,2.2,0,0,1,16.7,0,185,4,1,0,65.9,0,0,1,3.1,0,0,0,0,65,2,0,2020
A.J. Musolino,60667,LB,KENT STATE,2,0,0,201,46.6,0,1,2,22.2,0,0,0,25,0,9,2,1,0,,0,0,0,0,,0,,0,2,0,0,2020
Aaron Pierre,60670,LB,LIBERTY,10,0,0,206,85.1,2,5,22,11.2,9.1,2,1,20.5,1,214,24,8,0,69.4,0,1,2,6.3,0,0,75,1,64,4,2,2020
Jaiden Cole,60673,S,LA TECH,9,0,1,208,86.8,1,1,10,6.2,30,3,2,20,1,177,11,3,0,89.2,1,0,4,8.9,50,2,37.5,1,56,5,2,2020
Traveion Webster,60676,LB,LA MONROE,10,0,1,209,82.5,9,7,62,31.3,21,13,1,17.7,3,211,66,19,0,79.7,3,3,31,39.8,22.6,7,16.1,2,83,33,8,2020
Austin Hawley,60677,S,LA MONROE,10,0,0,209,67.3,1,0,13,6.4,7.7,1,2,11.5,1,219,14,2,0,63.4,0,0,4,4.8,25,1,0,0,83,4,0,2020
Jack Fagot,60678,S,LOUISVILLE,9,0,0,210,61.4,0,0,8,5.7,12.5,1,0,12.5,1,140,8,1,0,55.2,0,0,3,6.7,0,0,0,0,45,3,0,2020
Rodney Owens,60682,CB,MEMPHIS,10,0,0,218,58,1,5,52,12.7,3.8,2,0,5.8,0,434,55,6,0,62.6,0,2,12,10.7,8.3,1,8.3,0,131,14,2,2020
C.J. Avery,60683,LB,LOUISVILLE,11,0,0,210,71.3,2,7,47,17.2,14.9,7,1,18.1,4,290,50,13,0,63.5,0,5,20,26.5,15,3,17.5,1,83,22,6,2020
Todd Harris Jr.,60684,S,LSU,10,0,0,211,59,0,0,2,1,0,0,0,0,0,207,2,0,0,,0,0,0,0,,0,,0,84,0,0,2020
Dominique Long,60688,CB,MICH STATE,4,0,0,223,46.5,0,1,1,1.8,0,0,1,50,0,55,1,1,0,46.5,0,1,1,4.2,0,0,50,0,24,1,1,2020
Londyn Craft,60689,S,MISS STATE,9,0,0,227,56.7,0,0,2,0.7,0,0,0,0,0,278,2,0,0,,0,0,0,0,,0,,0,92,0,0,2020
Joshuah Bledsoe,60691,CB,MISSOURI,10,0,0,229,50.6,0,1,3,0.8,0,0,2,16.7,0,358,3,1,0,58.2,0,1,0,0,,0,,0,135,0,1,2020
Tyree Gillespie,60692,S,MISSOURI,9,0,0,229,66.2,1,0,9,3.4,11.1,1,1,5.6,0,291,10,1,0,57,0,0,2,1.7,0,0,0,0,115,2,0,2020
Cameron Kinley,60699,CB,NAVY,9,0,0,237,54.3,0,0,3,1.6,0,0,1,0,0,192,3,0,0,54.6,0,0,2,4.4,0,0,0,0,45,2,0,2020
Tyreke Davis,60707,LB,N TEXAS,5,0,0,251,58.8,2,4,26,17.2,0,0,1,15.4,1,151,26,7,0,67.8,0,0,1,5.9,0,0,100,1,17,1,1,2020
Makyle Sanders,60708,S,N TEXAS,9,0,1,251,56.8,1,1,14,4.1,7.1,1,3,7.1,0,344,14,2,0,54.8,0,1,5,10,0,0,10,0,50,5,1,2020
Isaiah Pryor,60724,S,NOTRE DAME,5,0,0,258,80.8,0,2,4,11.4,0,0,0,50,1,35,4,3,0,87.7,0,0,1,6.7,0,0,100,1,15,1,1,2020
Brendon White,60725,S,RUTGERS,5,0,0,278,62.2,1,0,1,1,0,0,1,50,0,209,2,1,0,62.5,1,0,1,1.4,0,0,50,0,72,1,1,2020
Thabo Mwaniki,60729,S,HOUSTON,7,0,0,182,56.3,0,1,1,1,0,0,1,50,0,195,2,1,0,59.2,0,1,1,1.4,0,0,50,0,74,1,1,2020
Malcolm Rodriguez,60731,LB,OKLA STATE,10,0,0,262,66.5,4,5,52,18,11.5,6,0,12.5,2,333,60,11,0,69.4,3,5,23,20.8,17.4,4,26.1,2,130,27,10,2020
Nick Pickett,60736,S,OREGON,4,0,0,264,56.5,0,0,3,3.7,0,0,1,0,0,82,3,0,0,59,0,0,1,2.9,0,0,0,0,34,1,0,2020
Jonathan Sutherland,60739,S,PENN STATE,9,0,0,266,66.8,0,0,4,5.2,0,0,0,25,1,77,4,1,0,68.3,0,0,2,6.3,0,0,50,1,32,2,1,2020
Tariq Thompson,60743,S,S DIEGO ST,8,0,0,284,61.9,0,2,6,2.2,16.7,1,1,16.7,0,315,7,2,0,56.8,0,0,1,2,0,0,0,0,101,2,0,2020
Delano Robinson,60745,LB,SMU,10,0,0,287,68.3,1,2,45,15.2,13.3,6,0,7.8,2,315,48,5,0,70.4,0,1,16,23.7,18.8,3,9.4,1,76,18,2,2020
A.J. DeShazor Jr.,60748,LB,S ALABAMA,11,0,0,288,69.4,2,0,17,9.2,5.9,1,1,11.8,1,196,18,3,0,69,0,0,2,10.5,0,0,50,1,19,2,1,2020
La'Kendrick Van Zandt,60760,S,TCU,10,0,0,305,60.3,1,2,19,7.8,5.3,1,1,13.2,1,283,22,4,0,50.5,0,1,9,9.8,0,0,5.6,0,102,10,1,2020
Garret Wallow,60761,LB,TCU,10,0,0,305,76.7,6,11,43,12.4,9.3,4,1,26.7,3,380,47,20,0,72.8,4,7,25,20.1,12,3,26,1,139,28,12,2020
Tyler Murray,60765,LB,CHARLOTTE,6,0,0,136,62.9,1,5,41,22.6,7.3,3,1,9.8,1,190,43,7,0,66.4,1,3,17,26.1,17.6,3,17.6,1,69,18,5,2020
Chase Kuerschen,60770,S,TULANE,10,0,1,319,63.4,0,2,3,1.3,0,0,1,33.3,0,299,4,2,0,63.7,0,1,2,2.9,0,0,25,0,102,3,1,2020
Will Boler,60771,S,UAB,7,0,0,321,57.2,0,0,4,1.6,0,0,0,0,0,256,4,0,0,57.8,0,0,2,2.3,0,0,0,0,86,2,0,2020
Bubba Bolden,60779,S,MIAMI FL,10,0,0,220,77.7,0,0,7,2,14.3,1,3,28.6,2,347,7,2,0,80.2,0,0,5,3.9,20,1,40,2,128,5,2,2020
Isaiah Pola-Mao,60781,S,USC,5,0,0,326,52.4,0,0,7,3.3,0,0,0,0,0,213,7,0,0,54.9,0,0,3,2.9,0,0,0,0,104,3,0,2020
Derrek Pitts,60785,S,MARSHALL,8,0,0,214,61.2,0,0,7,3.2,14.3,1,1,0,0,222,7,0,0,63,0,0,1,2.2,100,1,0,0,45,1,0,2020
E.J. Brown,60787,S,BUFFALO,4,0,0,126,76.4,0,0,1,2.6,0,0,1,0,0,78,2,0,0,,0,0,0,0,,0,,0,25,0,0,2020
Exree Loe,60790,LB,W VIRGINIA,9,0,0,343,55.4,0,1,6,4.5,0,0,0,8.3,0,134,6,1,0,59.2,0,0,1,2.7,0,0,0,0,37,1,0,2020
Scott Nelson,60791,S,WISCONSIN,5,0,0,349,69.7,1,2,10,7.2,20,2,1,25,1,138,10,4,0,72.8,0,1,3,5.1,33.3,1,50,1,59,3,2,2020
Esaias Gandy,60793,S,WYOMING,6,0,0,351,76.4,0,2,11,5.8,27.3,3,2,18.2,1,206,12,3,0,79.8,0,1,3,4.4,66.7,2,50,1,68,3,2,2020
Rob Saulin,60857,DI,BAYLOR,5,0,0,118,57.4,0,0,14,100,0,0,0,0,0,14,14,0,0,60,0,0,1,100,0,0,0,0,1,1,0,2020
Chase Lasater,60894,LB,FAU,8,0,0,165,83.7,4,2,18,14.4,22.2,4,0,22.2,1,132,19,7,0,67.1,1,1,5,33.3,20,1,20,0,15,5,2,2020
Andre Landry,60938,ED,LA LAFAYET,9,1,0,207,64.6,0,3,84,94.7,7.1,6,0,1.8,0,95,90,3,0,66.3,0,2,23,88.9,17.4,4,4.3,0,27,24,2,2020
Jack Camper,60962,ED,MICH STATE,7,0,0,223,54.6,0,6,112,100,1.8,2,0,3.6,1,120,120,7,0,55,0,3,39,100,2.6,1,3.8,0,44,44,3,2020
Reese Leitao,61035,ED,TEXAS,5,0,0,311,63.4,1,4,30,100,13.3,4,0,8.3,0,31,31,5,0,69.3,1,3,13,100,30.8,4,15.4,0,14,14,4,2020
Mark Webb Jr.,61274,CB,GEORGIA,8,0,0,173,60.1,0,0,8,3.9,12.5,1,0,0,0,203,8,0,0,58.1,0,0,2,2.5,0,0,0,0,79,2,0,2020
Parker Rickert,61330,WR,IOWA STATE,1,0,0,193,60,0,0,1,100,0,0,0,0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0,2020
JaCoby Stevens,61402,S,LSU,10,1,1,211,89.2,4,5,44,12.3,4.5,2,3,17,3,357,44,12,0,89.1,0,3,17,11.9,0,0,26.5,3,143,17,6,2020
Dominique Robinson,61436,ED,MIAMI OH,3,0,0,221,60.9,0,2,64,98.5,9.4,6,0,4.7,2,67,66,4,0,64.6,0,2,27,96.6,18.5,5,11.1,2,29,28,4,2020
Tyson Williams,61499,S,NEVADA,8,1,0,239,71.1,0,2,6,2.3,0,0,1,16.7,0,260,6,2,0,,0,2,0,0,,0,,0,84,0,2,2020
Daiyan Henley,61500,LB,NEVADA,8,0,0,239,60.9,1,6,29,14.5,10.3,3,0,12.1,0,200,29,7,0,63.8,0,4,8,11.4,12.5,1,25,0,70,8,4,2020
Dadrian Taylor,61789,CB,UTSA,9,0,0,331,59.9,1,3,20,14.2,10,2,2,10,0,141,20,4,0,60.6,0,0,7,14.9,14.3,1,0,0,47,7,0,2020
Tariq Woolen,61790,CB,UTSA,10,0,0,331,68.7,0,2,12,4.8,8.3,1,0,25,2,273,13,4,0,,0,0,0,0,,0,,0,74,0,0,2020
Tyler Mahnke,61791,LB,UTSA,9,0,0,331,59.2,1,2,17,16.3,5.9,1,0,8.8,0,104,17,3,0,60.3,0,1,6,22.2,16.7,1,8.3,0,27,6,1,2020
Alex Cook,61805,S,WASHINGTON,4,0,0,340,63.7,0,1,1,1.3,100,1,0,50,0,77,1,1,0,63.7,0,1,1,3.3,100,1,50,0,30,1,1,2020
Luke Sanders,61829,TE,W MICHIGAN,1,0,0,347,60,0,0,1,100,0,0,0,0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0,2020
Harrison Taylor,61830,S,W MICHIGAN,6,0,0,347,59.3,0,0,1,0.5,0,0,1,0,0,206,1,0,0,59.3,0,0,1,1.6,0,0,0,0,61,1,0,2020
Lonnie Phelps,62497,ED,MIAMI OH,3,0,0,221,70.8,1,3,47,98,12.8,6,2,8.5,2,50,49,6,0,68.5,1,1,18,95,22.2,4,11.1,1,20,19,3,2020
Joey Blount,62771,S,VIRGINIA,5,0,0,335,62.2,6,2,11,7.4,9.1,1,0,36.4,0,148,11,8,0,53.6,2,1,4,8.2,0,0,37.5,0,49,4,3,2020
Darrius Bratton,62772,CB,VIRGINIA,6,0,0,335,53.4,0,0,3,3.4,0,0,0,0,0,88,3,0,0,,0,0,0,0,,0,,0,31,0,0,2020
Zane Zandier,62773,LB,VIRGINIA,10,0,0,335,71.5,6,23,113,32.7,11.5,13,0,14.6,2,367,120,31,0,69.4,3,12,57,51.8,15.8,9,16.7,2,114,59,17,2020
Charles Snowden,62775,ED,VIRGINIA,8,1,0,335,69.4,5,7,123,59.3,9.8,12,0,8.9,5,221,131,17,0,65.2,2,3,40,57.1,12.5,5,13.8,3,77,44,8,2020
Elliott Brown,62777,ED,VIRGINIA,5,0,0,335,73.4,3,8,60,75,18.3,11,0,9.2,0,84,63,11,0,58,0,4,19,87,15.8,3,10.5,0,23,20,4,2020
Matt Gahm,62779,ED,VIRGINIA,10,0,0,335,66.6,6,7,107,58.1,5.6,6,0,11.7,6,186,108,19,0,65.2,4,2,33,58.9,9.1,3,15.2,2,56,33,8,2020
Mandy Alonso,62784,DI,VIRGINIA,10,1,0,335,68.1,6,15,286,99.7,9.1,26,2,4.4,2,301,300,23,1,69.3,3,7,91,99,13.2,12,7.7,2,96,95,12,2020
Kaleb Oliver,62915,S,GA TECH,9,0,0,176,65.9,0,0,17,9.7,0,0,0,11.8,2,176,17,2,0,56.7,0,0,4,7.1,0,0,0,0,56,4,0,2020
Shawn Shamburger,62918,CB,TENNESSEE,3,0,0,307,54.3,0,0,5,8.6,0,0,0,0,0,58,5,0,0,59.7,0,0,1,4.5,0,0,0,0,22,1,0,2020
Theo Jackson,62919,CB,TENNESSEE,10,0,0,307,56.7,0,2,14,6.3,7.1,1,0,7.1,0,222,14,2,0,54.3,0,1,4,5.2,0,0,12.5,0,77,4,1,2020
Tre Swilling,62922,CB,GA TECH,6,0,0,176,49.8,0,0,8,4.6,0,0,3,0,0,195,9,0,0,58.3,0,0,1,1.5,0,0,0,0,65,1,0,2020
Deandre Johnson,62927,ED,TENNESSEE,10,0,0,307,70.5,3,6,158,85.3,10.8,17,4,5.4,4,197,168,13,0,70.8,2,2,68,94.6,17.6,12,8.8,4,74,70,8,2020
Ryan Thaxton,62929,ED,USF,4,0,0,327,57.5,0,0,11,91.7,9.1,1,0,0,0,12,11,0,0,60.6,0,0,6,85.7,16.7,1,0,0,7,6,0,2020
Matthew Butler,62931,DI,TENNESSEE,10,1,0,307,62.9,4,4,246,100,6.5,16,0,2.4,2,258,258,10,1,67.1,3,3,97,100,10.3,10,5.2,2,100,100,8,2020
Kivon Bennett,62934,ED,TENNESSEE,7,0,0,307,83,2,10,115,89.6,15.7,18,0,9.6,5,134,120,17,0,74.9,2,5,41,100,17.1,7,13.4,2,41,41,9,2020
Djimon Brooks,62936,DI,GA TECH,10,0,0,176,57.7,4,8,246,99.6,4.5,11,2,3.3,2,263,262,14,0,60.4,3,4,91,99,6.6,6,4.9,1,96,95,8,2020
Antwan Owens,62938,ED,GA TECH,6,0,0,176,53.4,1,2,62,100,3.2,2,1,2.4,0,64,64,3,0,58.1,1,2,21,100,9.5,2,7.1,0,22,22,3,2020
